post_shortcode,post_url,comment_id,comment_created_at,comment_datetime_utc,comment_like_count,comment_text,comment_hashtags,comment_mentions,author_hash
DZvNxBzCLhf,https://www.instagram.com/higo_houses/p/DZvNxBzCLhf/,18084110096536943,1781842646,2026-06-19T04:17:26+00:00,1,Stunning xxx,,,3ec3f9bf55d716c0
DZvNxBzCLhf,https://www.instagram.com/higo_houses/p/DZvNxBzCLhf/,18010007495730339,1781829466,2026-06-19T00:37:46+00:00,1,So perfect ahhh😍,,,6ad263a7923d9977
DZvNxBzCLhf,https://www.instagram.com/higo_houses/p/DZvNxBzCLhf/,17900265468305738,1781818383,2026-06-18T21:33:03+00:00,1,😍🥰,,,1e525d7240b74f5c
DZvNxBzCLhf,https://www.instagram.com/higo_houses/p/DZvNxBzCLhf/,17991259439797603,1781808448,2026-06-18T18:47:28+00:00,0,send me this post 🙌,,,b1afb211b576801b
DYRSS4aCD-Q,https://www.instagram.com/higo_houses/p/DYRSS4aCD-Q/,18086726156382066,1778752610,2026-05-14T09:56:50+00:00,0,Tuscany next 👀 @rachaelvincentyoga 😆 x,,rachaelvincentyoga,07d734ed12000358
DZc-sYcjRRD,https://www.instagram.com/namasyoga1976/p/DZc-sYcjRRD/,17916288474389166,1781196834,2026-06-11T16:53:54+00:00,0,This looks dreamy 😍,,,c47355d338180325
DYeY6rrID5T,https://www.instagram.com/studiomond.space/reel/DYeY6rrID5T/,17880779988432049,1779187587,2026-05-19T10:46:27+00:00,9,😍😍😍,,,a3c0535a199a0ab6
DYeY6rrID5T,https://www.instagram.com/studiomond.space/reel/DYeY6rrID5T/,18117346144784632,1779097031,2026-05-18T09:37:11+00:00,9,Looks like fun 😌,,,2716b7a1cfba243e
DYeY6rrID5T,https://www.instagram.com/studiomond.space/reel/DYeY6rrID5T/,18012379955893757,1779119881,2026-05-18T15:58:01+00:00,11,"ok the cannonball sold me, love this energy!",,,8cf2b5ba87cecc73
DYeY6rrID5T,https://www.instagram.com/studiomond.space/reel/DYeY6rrID5T/,18113636362642513,1779099281,2026-05-18T10:14:41+00:00,9,looks dreamy 🥰,,,66144dacef8b868f
DYeY6rrID5T,https://www.instagram.com/studiomond.space/reel/DYeY6rrID5T/,18119242363733313,1779097320,2026-05-18T09:42:00+00:00,9,ein Traum 🥹❤️,,,898e8bd9d0cdab5a
DYeY6rrID5T,https://www.instagram.com/studiomond.space/reel/DYeY6rrID5T/,18075976748263946,1779397271,2026-05-21T21:01:11+00:00,2,😍😍,,,8c8bc4a679cd72f2
DYeY6rrID5T,https://www.instagram.com/studiomond.space/reel/DYeY6rrID5T/,18105894532752521,1779694166,2026-05-25T07:29:26+00:00,2,What a dream 😍,,,0a1b0dc69138c474
DYeY6rrID5T,https://www.instagram.com/studiomond.space/reel/DYeY6rrID5T/,18050748521586736,1779114496,2026-05-18T14:28:16+00:00,8,@densey.b we're really living the dream!,,densey.b,adb2443e5398420a
DYeY6rrID5T,https://www.instagram.com/studiomond.space/reel/DYeY6rrID5T/,18052542989737824,1779114518,2026-05-18T14:28:38+00:00,8,@insync.club it 100% is!,,insync.club,adb2443e5398420a
DYZqXzHIqxt,https://www.instagram.com/higo_houses/reel/DYZqXzHIqxt/,18117016360689135,1778958540,2026-05-16T19:09:00+00:00,0,😍😍😍😍,,,e31010a5f193f680
DX7GOoNI-c1,https://www.instagram.com/talesofher_retreats/reel/DX7GOoNI-c1/,18146327929496562,1777921002,2026-05-04T18:56:42+00:00,2,"Veronica, so grateful to have you as our guest. See you next year ☺️",,,2716b7a1cfba243e
DX7GOoNI-c1,https://www.instagram.com/talesofher_retreats/reel/DX7GOoNI-c1/,17970146669996357,1777957020,2026-05-05T04:57:00+00:00,2,Looks like such a powerful and deeply held experience ✨ nature truly creates the perfect space to go within. Beautiful energy all around 🙏,,,5c7b74ac721a8829
DX7GOoNI-c1,https://www.instagram.com/talesofher_retreats/reel/DX7GOoNI-c1/,18073796159249806,1777918498,2026-05-04T18:14:58+00:00,2,Miss our days together. Was beautiful and went so fast. Thank you beautiful @veronicasantini.co and all other women for making this a great experience 🫂🌸❤️,,veronicasantini.co,4b352c5bd7cf0b90
DX7GOoNI-c1,https://www.instagram.com/talesofher_retreats/reel/DX7GOoNI-c1/,18037119092601530,1778094607,2026-05-06T19:10:07+00:00,2,Looks beautiful! Hope to join someday 🙏,,,442d76709f204941
DX7GOoNI-c1,https://www.instagram.com/talesofher_retreats/reel/DX7GOoNI-c1/,17965299909079415,1777912908,2026-05-04T16:41:48+00:00,3,So happy to have been a part of this 🥰,,,fd41f20837190059
DXL9m83iChb,https://www.instagram.com/higo_houses/reel/DXL9m83iChb/,17902927944408088,1776331452,2026-04-16T09:24:12+00:00,0,Wow!! This is incredible,,,0c7762444ea683eb
DXL9m83iChb,https://www.instagram.com/higo_houses/reel/DXL9m83iChb/,18066039722688493,1776441723,2026-04-17T16:02:03+00:00,0,You guys are ON THE ROLL! 🙌🏾,,,3520c599cca708a8
DXL9m83iChb,https://www.instagram.com/higo_houses/reel/DXL9m83iChb/,18369947998164830,1776349452,2026-04-16T14:24:12+00:00,0,Yay! Sign me up for 2027!!,,,756c0cf9974a1249
